reviewStatus,compilerDecision,compilerNotes,chapter,gapRank,gapNeed,candidateDisposition,candidateId,lane,queueBucket,priority,date,title,whyConsider,selectedContextMatches,peopleOrSignals,score,naid,sourceSeries,sourceNote,researchNote,catalogUrl,pdfUrl
,,,Greece,913,Supplemental check: 14 selected records; screen high-signal source packets for missed context or appendices.,Context for selected record; screen for additional documents,CC 007,Central Chronological Files,Open first,Open packet first,1992-11-01,November 1992 [2],Supplemental check: 14 selected records; screen high-signal source packets for missed context or appendices. Open first 02a. Memorandum To: Brent Scowcroft From: Jane Holl 11/13/92 (b)f1) g Re: President's Meeting with Prime Minister Mitsotakis of | Re: President's Meeting with Prime Minister Mitsotakis of Greece (1 pp.) | 02b. Memoran... Already crosswalks to Doc 1.014; open for surrounding or enclosed material.,Doc 1.014,02a. Memorandum To: Brent Scowcroft From: Jane Holl 11/13/92 (b)f1) g Re: President's Meeting with Prime Minister Mitsotakis of | Re: President's Meeting with Prime Minister Mitsotakis of Greece (1 pp.) | 02b. Memorandum From: Brent Scowcroft 11/17/92 (b)(1) Cc Re: Meeting with Prime Minister Mitsotakis (3 pp.) | Mitsotakis + memcon | Mitsotakis + telcon | Mitsotakis + memorandum of conversation | Denktash + memorandum | Ozal + memcon | Ozal + telcon | Demirel + memcon | Demirel + telcon,243,470761834,European and Eurasian Directorate Central Chronological Files,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, European and Eurasian Directorate Central Chronological Files, November 1992 [2].","Catalog provenance: Catalog access Restricted - Possibly; NAID 470761834. Query hit(s): Mitsotakis + memcon, Mitsotakis + telcon, Mitsotakis + memorandum of conversation, Denktash + memorandum, Ozal + memcon, Ozal + telcon, Demirel + memcon, Demirel + telcon, Greek-Turkish + memorandum, Greece / Turkey / Cyprus + memcon, Greece / Turkey / Cyprus + telcon, Cyprus + memorandum of conversation, Turkey + memorandum of conversation. OCR status: First four pages OCR reviewed. OCR signals: 02a. Memorandum To: Brent Scowcroft From: Jane Holl 11/13/92 (b)f1) g Re: President's Meeting with Prime Minister Mitsotakis of | Re: President's Meeting with Prime Minister Mitsotakis of Greece (1 pp.) | 02b. Memorandum From: Brent Scowcroft 11/17/92 (b)(1) Cc Re: Meeting with Prime Minister Mitsotakis (3 pp.). PDF extent: 142 pages. Digital object: 41-bpr-nsc-euro_eura-cen_chron-30530-005.pdf. Catalog: https://catalog.archives.gov/id/470761834.",https://catalog.archives.gov/id/470761834,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/euro_eura_dir_374000108/41-bpr-nsc-euro_eura-cen_chron-30530-005.pdf
,,,Greece,907,Supplemental check: 14 selected records; screen high-signal source packets for missed context or appendices.,Context for selected record; screen for additional documents,BC 001,Blackwill Chronological Files,Open first,Open packet first,1989-06-01,June 1989 [6],"Supplemental check: 14 selected records; screen high-signal source packets for missed context or appendices. Open first missing MEMCON is the Presidents meeting with Turkish Prime Minister Ozal, in Brussels on the morning of May 29. The | Minister Ozal, in Brussels on the morning of May 29. The | of Conversation for the Presidents May ... Already crosswalks to Doc 3.002; open for surrounding or enclosed material.",Doc 3.002,"missing MEMCON is the Presidents meeting with Turkish Prime Minister Ozal, in Brussels on the morning of May 29. The | Minister Ozal, in Brussels on the morning of May 29. The | of Conversation for the Presidents May | Greece | Greek | Papandreou | Papandreou + memcon | Cyprus | Cypriot | Vassiliou | Vassiliou + Cyprus",237,453248088,Robert D. Blackwill Chronological Files,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Robert D. Blackwill Chronological Files, June 1989 [6].","Catalog provenance: Catalog access Restricted - Possibly; NAID 453248088. Query hit(s): Greece, Greek, Papandreou, Papandreou + memcon, Cyprus, Cypriot, Vassiliou, Vassiliou + Cyprus, Denktash, Turkey, Turkish, Ozal, Ozal + Turkey, Greece / Turkey / Cyprus, memcon, memorandum of conversation, telephone conversation. OCR status: Full PDF OCR reviewed. OCR signals: missing MEMCON is the Presidents meeting with Turkish Prime Minister Ozal, in Brussels on the morning of May 29. The | Minister Ozal, in Brussels on the morning of May 29. The | of Conversation for the Presidents May. PDF extent: 149 pages. Digital object: 41-bpr-nsc-blackwill_chron-30545-006.pdf. Catalog: https://catalog.archives.gov/id/453248088.",https://catalog.archives.gov/id/453248088,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/blackwill/chron_2554659/41-bpr-nsc-blackwill_chron-30545-006.pdf
,,,Greece,907,Supplemental check: 14 selected records; screen high-signal source packets for missed context or appendices.,Context for selected record; screen for additional documents,BC 002,Blackwill Chronological Files,Open first,Open packet first,1989-07-01,July 1989 [2],"Supplemental check: 14 selected records; screen high-signal source packets for missed context or appendices. Open first missing MEMCON is the Presidents meeting with Turkish Prime Minister Ozal, in Brussels on the morning of May 29. The | Minister Ozal, in Brussels on the morning of May 29. The | Memorandum of Conversation for the May ... Already crosswalks to Doc 1.001, Doc 3.002, Doc 3.003; open for surrounding or enclosed material.",Doc 1.001; Doc 3.002; Doc 3.003,"missing MEMCON is the Presidents meeting with Turkish Prime Minister Ozal, in Brussels on the morning of May 29. The | Minister Ozal, in Brussels on the morning of May 29. The | Memorandum of Conversation for the May 30 Meeting Prime Minister Papandreou | Greece | Greek | Papandreou | Papandreou + memcon | Cyprus | Cypriot | Vassiliou | Vassiliou + Cyprus",237,453248091,Robert D. Blackwill Chronological Files,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Robert D. Blackwill Chronological Files, July 1989 [2].","Catalog provenance: Catalog access Restricted - Possibly; NAID 453248091. Query hit(s): Greece, Greek, Papandreou, Papandreou + memcon, Cyprus, Cypriot, Vassiliou, Vassiliou + Cyprus, Denktash, Turkey, Turkish, Ozal, Ozal + Turkey, Greece / Turkey / Cyprus, memcon, memorandum of conversation, telephone conversation. OCR status: Full PDF OCR reviewed. OCR signals: missing MEMCON is the Presidents meeting with Turkish Prime Minister Ozal, in Brussels on the morning of May 29. The | Minister Ozal, in Brussels on the morning of May 29. The | Memorandum of Conversation for the May 30 Meeting Prime Minister Papandreou. PDF extent: 151 pages. Digital object: 41-bpr-nsc-blackwill_chron-30546-002.pdf. Catalog: https://catalog.archives.gov/id/453248091.",https://catalog.archives.gov/id/453248091,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/blackwill/chron_2554659/41-bpr-nsc-blackwill_chron-30546-002.pdf
,,,Greece,874,Supplemental check: 14 selected records; screen high-signal source packets for missed context or appendices.,Context for selected record; screen for additional documents,CC 018,Central Chronological Files,Open first,Open packet first,1992-07-01,July 1992 [3],"Supplemental check: 14 selected records; screen high-signal source packets for missed context or appendices. Open first 03. Memcon Meeting with Prime Minister Constantine Mitsotakis of Greece 7/9/92 oy) vA | 05. Memcon Meeting with Prime Minister Constantine Mitsotakis of Greece 7/9/92 oh) g | Mitsotakis + memcon | Mitsotakis + memoran... Already crosswalks to Doc 1.013, Doc 3.063; open for surrounding or enclosed material.",Doc 1.013; Doc 3.063,03. Memcon Meeting with Prime Minister Constantine Mitsotakis of Greece 7/9/92 oy) vA | 05. Memcon Meeting with Prime Minister Constantine Mitsotakis of Greece 7/9/92 oh) g | Mitsotakis + memcon | Mitsotakis + memorandum of conversation | Vassiliou + memcon | Cyprus / Denktash / Vassiliou | Denktash + memorandum | Ozal + memcon | Demirel + memcon | Yilmaz + memcon,204,470761820,European and Eurasian Directorate Central Chronological Files,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, European and Eurasian Directorate Central Chronological Files, July 1992 [3].","Catalog provenance: Catalog access Restricted - Possibly; NAID 470761820. Query hit(s): Mitsotakis + memcon, Mitsotakis + memorandum of conversation, Vassiliou + memcon, Cyprus / Denktash / Vassiliou, Denktash + memorandum, Ozal + memcon, Demirel + memcon, Yilmaz + memcon, Greece / Turkey / Cyprus + memcon, Cyprus + memorandum of conversation, Turkey + memorandum of conversation. OCR status: First four pages OCR reviewed. OCR signals: 03. Memcon Meeting with Prime Minister Constantine Mitsotakis of Greece 7/9/92 oy) vA | 05. Memcon Meeting with Prime Minister Constantine Mitsotakis of Greece 7/9/92 oh) g. PDF extent: 167 pages. Digital object: 41-bpr-nsc-euro_eura-cen_chron-30528-001.pdf. Catalog: https://catalog.archives.gov/id/470761820.",https://catalog.archives.gov/id/470761820,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/euro_eura_dir_374000108/41-bpr-nsc-euro_eura-cen_chron-30528-001.pdf
,,,Greece,787,Supplemental check: 14 selected records; screen high-signal source packets for missed context or appendices.,Context for selected record; screen for additional documents,RS 001-001,Requested source pool: Scowcroft Papers,High-value source pool,High-value EastMed lead,,Presidential Meetings--Memorandum of Conversations 7/11/91-7/22/91,"Supplemental check: 14 selected records; screen high-signal source packets for missed context or appendices. High-value source pool Greece | Greek | Papandreou | Mitsotakis | Cyprus | Cypriot | Vassiliou | Denktash | Turkey | Turkish Already crosswalks to Doc 1.008, Doc 3.050, Doc 3.051, Doc 3.052, Doc 3.053; open for surrounding or enclosed material.",Doc 1.008; Doc 3.050; Doc 3.051; Doc 3.052; Doc 3.053,Greece | Greek | Papandreou | Mitsotakis | Cyprus | Cypriot | Vassiliou | Denktash | Turkey | Turkish,252,366551676,Presidential Correspondence Files,"Source: George H.W. Bush Library, Bush Presidential Records, Brent Scowcroft Collection, Presidential Correspondence Files, Presidential Meetings--Memorandum of Conversations 7/11/91-7/22/91.","Catalog provenance: Catalog access Restricted - Possibly; NAID 366551676. Query hit(s): Greece, Greek, Papandreou, Mitsotakis, Cyprus, Cypriot, Vassiliou, Denktash, Turkey, Turkish, Ozal, Yilmaz, PKK, Aegean, Eastern Mediterranean, Greece / Turkey / Cyprus, memcon, memorandum of conversation. Digital object: 41-bpr-scow-pcor-memcon-91109-001.pdf. Catalog: https://catalog.archives.gov/id/366551676.",https://catalog.archives.gov/id/366551676,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-gbs/4545941/41-bpr-scow-pcor-memcon-91109-001.pdf
,,,Greece,763,Supplemental check: 14 selected records; screen high-signal source packets for missed context or appendices.,Potential gap-fill addition,BC 020,Blackwill Chronological Files,Open first,Open packet first,1990-03-01,Mar-90,"Supplemental check: 14 selected records; screen high-signal source packets for missed context or appendices. Open first consensus. | Aegean No None None Turkey probably will not support sanctions. Little change, except for Greece where new | Greece may follow EC consensus. conservative government may be more | Greece | Turkey | Aegean ... No selected-document crosswalk match above threshold.",,"consensus. | Aegean No None None Turkey probably will not support sanctions. Little change, except for Greece where new | Greece may follow EC consensus. conservative government may be more | Greece | Turkey | Aegean | memorandum of conversation | telephone conversation",58,453248108,Robert D. Blackwill Chronological Files,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Robert D. Blackwill Chronological Files, Mar-90.","Catalog provenance: Catalog access Restricted - Possibly; NAID 453248108. Query hit(s): Greece, Turkey, Aegean, memorandum of conversation, telephone conversation. OCR status: Full PDF OCR reviewed. OCR signals: consensus. | Aegean No None None Turkey probably will not support sanctions. Little change, except for Greece where new | Greece may follow EC consensus. conservative government may be more. PDF extent: 39 pages. Digital object: 41-bpr-nsc-blackwill_chron-30547-012.pdf. Catalog: https://catalog.archives.gov/id/453248108.",https://catalog.archives.gov/id/453248108,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/blackwill/chron_2554659/41-bpr-nsc-blackwill_chron-30547-012.pdf
,,,Greece,744,Supplemental check: 14 selected records; screen high-signal source packets for missed context or appendices.,Potential gap-fill addition,RS 001-004,Requested source pool: Scowcroft Papers,High-value source pool,High-value EastMed lead,,Presidential Meetings--Memorandum of Conversations 2/1/92-2/27/92,Supplemental check: 14 selected records; screen high-signal source packets for missed context or appendices. High-value source pool Greece | Greek | Mitsotakis | Cyprus | Denktash | Turkey | Turkish | Demirel | PKK | Aegean No selected-document crosswalk match above threshold.,,Greece | Greek | Mitsotakis | Cyprus | Denktash | Turkey | Turkish | Demirel | PKK | Aegean,174,366551681,Presidential Correspondence Files,"Source: George H.W. Bush Library, Bush Presidential Records, Brent Scowcroft Collection, Presidential Correspondence Files, Presidential Meetings--Memorandum of Conversations 2/1/92-2/27/92.","Catalog provenance: Catalog access Restricted - Possibly; NAID 366551681. Query hit(s): Greece, Greek, Mitsotakis, Cyprus, Denktash, Turkey, Turkish, Demirel, PKK, Aegean, Greece / Turkey / Cyprus, memcon, memorandum of conversation. Digital object: 41-bpr-scow-pcor-memcon-91109-006.pdf. Catalog: https://catalog.archives.gov/id/366551681.",https://catalog.archives.gov/id/366551681,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-gbs/4545941/41-bpr-scow-pcor-memcon-91109-006.pdf
,,,Greece,738,Supplemental check: 14 selected records; screen high-signal source packets for missed context or appendices.,Context for selected record; screen for additional documents,CC 075,Central Chronological Files,Open first,Open packet first,1990-06-01,June 1990 [5],Supplemental check: 14 selected records; screen high-signal source packets for missed context or appendices. Open first Re: Meeting and Lunch with Prime Minister Mitsotakis (3 pp.) | 04b. Talking Points Points to be Made for Meeting with Mitsotakis (5 pp.) n.d. (b)(1) S 04c. Talking Points Points to be Made for Meeting with Mitsotakis ... Already crosswalks to Doc 1.004; open for surrounding or enclosed material.,Doc 1.004,Re: Meeting and Lunch with Prime Minister Mitsotakis (3 pp.) | 04b. Talking Points Points to be Made for Meeting with Mitsotakis (5 pp.) n.d. (b)(1) S 04c. Talking Points Points to be Made for Meeting with Mitsotakis (6 pp.) n.d. (b)(1) N) | 04c. Talking Points Points to be Made for Meeting with Mitsotakis (6 pp.) n.d. (b)(1) N) 04d. Report Government Report (2 pp.) 4/30/90 (b)(1) S | Mitsotakis + memorandum of conversation | Greek-Turkish + memorandum | Cyprus + memorandum of conversation | Turkey + memorandum of conversation,68,470761700,European and Eurasian Directorate Central Chronological Files,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, European and Eurasian Directorate Central Chronological Files, June 1990 [5].","Catalog provenance: Catalog access Restricted - Possibly; NAID 470761700. Query hit(s): Mitsotakis + memorandum of conversation, Greek-Turkish + memorandum, Cyprus + memorandum of conversation, Turkey + memorandum of conversation. OCR status: First four pages OCR reviewed. OCR signals: Re: Meeting and Lunch with Prime Minister Mitsotakis (3 pp.) | 04b. Talking Points Points to be Made for Meeting with Mitsotakis (5 pp.) n.d. (b)(1) S 04c. Talking Points Points to be Made for Meeting with Mitsotakis (6 pp.) n.d. (b)(1) N) | 04c. Talking Points Points to be Made for Meeting with Mitsotakis (6 pp.) n.d. (b)(1) N) 04d. Report Government Report (2 pp.) 4/30/90 (b)(1) S. PDF extent: 95 pages. Digital object: 41-bpr-nsc-euro_eura-cen_chron-30507-004.pdf. Catalog: https://catalog.archives.gov/id/470761700.",https://catalog.archives.gov/id/470761700,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/euro_eura_dir_374000108/41-bpr-nsc-euro_eura-cen_chron-30507-004.pdf
,,,Greece,732,Supplemental check: 14 selected records; screen high-signal source packets for missed context or appendices.,Context for selected record; screen for additional documents,RS 001-002,Requested source pool: Scowcroft Papers,High-value source pool,High-value EastMed lead,,Presidential Meetings--Memorandum of Conversations 7/9/92-12/22/92,"Supplemental check: 14 selected records; screen high-signal source packets for missed context or appendices. High-value source pool Greece | Greek | Papandreou | Mitsotakis | Cyprus | Cypriot | Vassiliou | Denktash | Clerides | Demirel Already crosswalks to Doc 1.013, Doc 1.014, Doc 3.063; open for surrounding or enclosed material.",Doc 1.013; Doc 1.014; Doc 3.063,Greece | Greek | Papandreou | Mitsotakis | Cyprus | Cypriot | Vassiliou | Denktash | Clerides | Demirel,197,366551685,Presidential Correspondence Files,"Source: George H.W. Bush Library, Bush Presidential Records, Brent Scowcroft Collection, Presidential Correspondence Files, Presidential Meetings--Memorandum of Conversations 7/9/92-12/22/92.","Catalog provenance: Catalog access Restricted - Possibly; NAID 366551685. Query hit(s): Greece, Greek, Papandreou, Mitsotakis, Cyprus, Cypriot, Vassiliou, Denktash, Clerides, Demirel, PKK, Greece / Turkey / Cyprus, memcon, memorandum of conversation. Digital object: 41-bpr-scow-pcor-memcon-91110-002.pdf. Catalog: https://catalog.archives.gov/id/366551685.",https://catalog.archives.gov/id/366551685,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-gbs/4545941/41-bpr-scow-pcor-memcon-91110-002.pdf
,,,Greece,712,Supplemental check: 14 selected records; screen high-signal source packets for missed context or appendices.,Context for selected record; screen for additional documents,RS 001-003,Requested source pool: Scowcroft Papers,High-value source pool,High-value EastMed lead,,Presidential Meetings--Memorandum of Conversations 3/3/92-4/28/92,Supplemental check: 14 selected records; screen high-signal source packets for missed context or appendices. High-value source pool Greece | Greek | Mitsotakis | Cyprus | Cypriot | Vassiliou | Denktash | Turkish | Demirel | Eastern Mediterranean Already crosswalks to Doc 2.003; open for surrounding or enclosed material.,Doc 2.003,Greece | Greek | Mitsotakis | Cyprus | Cypriot | Vassiliou | Denktash | Turkish | Demirel | Eastern Mediterranean,177,366551682,Presidential Correspondence Files,"Source: George H.W. Bush Library, Bush Presidential Records, Brent Scowcroft Collection, Presidential Correspondence Files, Presidential Meetings--Memorandum of Conversations 3/3/92-4/28/92.","Catalog provenance: Catalog access Restricted - Possibly; NAID 366551682. Query hit(s): Greece, Greek, Mitsotakis, Cyprus, Cypriot, Vassiliou, Denktash, Turkish, Demirel, Eastern Mediterranean, Greece / Turkey / Cyprus, memcon, memorandum of conversation. Digital object: 41-bpr-scow-pcor-memcon-91109-007.pdf. Catalog: https://catalog.archives.gov/id/366551682.",https://catalog.archives.gov/id/366551682,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-gbs/4545941/41-bpr-scow-pcor-memcon-91109-007.pdf
